Make,Number.of.Engines,Weather.Condition,Broad.phase.of.flight,total_passengers,injury_rate,is_destroyed,Make_Model
Grumman,1,VMC,Takeoff,1.0,0.0,1.0,Grumman — G164
McDonnell Douglas,,,,282.0,0.0,0.0,McDonnell Douglas — MD-11
Boeing,,VMC,,175.0,0.9657142857142857,1.0,Boeing — 767
Boeing,,,,63.0,0.0,,Boeing — 737
Cessna,,,,10.0,1.0,1.0,Cessna — 414
Beech,1,VMC,Maneuvering,1.0,1.0,1.0,Beech — C23
Piper,2,IMC,Approach,2.0,1.0,1.0,Piper — PA-60-601P
McDonnell Douglas,,,,0.0,,0.0,McDonnell Douglas — MD-82
Cessna,,,,2.0,1.0,1.0,Cessna — 208
Boeing,2,VMC,Standing,97.0,0.010309278350515464,,Boeing — 737-201
Boeing,4,VMC,,573.0,0.0,0.0,Boeing — 747-400
Boeing,2,VMC,,573.0,0.0,0.0,Boeing — B777
Cessna,1,VMC,Maneuvering,7.0,0.8571428571428571,1.0,Cessna — 205
Cessna,,VMC,,3.0,0.6666666666666666,0.0,Cessna — TU-206G
Boeing,,,,123.0,0.008130081300813009,,Boeing — 767-300
Piper,1,VMC,Takeoff,2.0,0.0,0.0,Piper — PA-18
McDonnell Douglas,2,VMC,Approach,75.0,0.0,,McDonnell Douglas — DC-9-15
Boeing,,,,150.0,0.006666666666666667,,Boeing — 757-200
Boeing,4,IMC,Approach,254.0,1.0,1.0,Boeing — 747-300
Piper,1,VMC,Landing,2.0,0.0,0.0,Piper — PA-18-150
Beech,2,VMC,Cruise,1.0,1.0,1.0,Beech — 95-B55
Cessna,1,VMC,Climb,5.0,1.0,1.0,Cessna — 182C
De Havilland,,,,0.0,,0.0,De Havilland — DHC-2
Beech,1,VMC,Cruise,1.0,0.0,0.0,Beech — V35B
Cessna,1,VMC,Takeoff,6.0,1.0,1.0,Cessna — 182E
Piper,1,IMC,,2.0,1.0,1.0,Piper — PA-28-235
Cessna,1,IMC,Climb,9.0,1.0,1.0,Cessna — 208B
Beech,,IMC,,9.0,0.8888888888888888,1.0,Beech — BE-200
Cessna,,,,0.0,,0.0,Cessna — 650-0220
Piper,1,VMC,Maneuvering,1.0,0.0,1.0,Piper — PA-25-235C
Piper,1,VMC,Takeoff,2.0,0.0,0.0,Piper — PA-22-150
De Havilland,2,VMC,Standing,18.0,0.05555555555555555,0.0,De Havilland — DHC-6-6
McDonnell Douglas,,,,4.0,0.0,0.0,McDonnell Douglas — DC-8F
McDonnell Douglas,,,,138.0,0.0,,McDonnell Douglas — MD-83
Boeing,,VMC,,3.0,0.0,,Boeing — 707-320
Boeing,,,,92.0,0.010869565217391304,0.0,Boeing — 767-322ER
Boeing,,,,2.0,0.0,0.0,Boeing — 757-200
McDonnell Douglas,,,,253.0,0.0,0.0,McDonnell Douglas — DC-10-30
McDonnell Douglas,,,,3.0,0.0,,McDonnell Douglas — DC8-73
Boeing,,,,6.0,1.0,1.0,Boeing — 707-336
Cessna,1,VMC,Cruise,6.0,1.0,1.0,Cessna — U206G
Boeing,,,,0.0,,0.0,Boeing — 767-304
Boeing,,,,0.0,,,Boeing — 737-500
North American,1,VMC,Landing,1.0,0.0,0.0,North American — T-28B
Boeing,,,,0.0,,0.0,Boeing — B-737-500
McDonnell Douglas,,,,173.0,0.0,,McDonnell Douglas — MD-83
Piper,1,VMC,Takeoff,3.0,0.0,0.0,Piper — PA-24-180
Boeing,,,,0.0,,,Boeing — 737-800
Boeing,,,,5.0,0.0,,Boeing — 737-400
Cessna,1,VMC,Cruise,5.0,0.2,0.0,Cessna — 182
Boeing,,,,3.0,0.0,,Boeing — 747
Boeing,,,,1.0,0.0,0.0,Boeing — 777
Boeing,,IMC,,0.0,,0.0,Boeing — 747-400
Boeing,,,,0.0,,,Boeing — 737-200
Boeing,,VMC,,200.0,0.0,0.0,Boeing — 767
Cessna,,,,7.0,1.0,1.0,Cessna — U206G
McDonnell Douglas,,,,0.0,,0.0,McDonnell Douglas — DC-10-30
Beech,,,,0.0,,0.0,Beech — 1900C
Boeing,,,,228.0,0.0043859649122807015,,Boeing — 777-222B
Boeing,,,,0.0,,0.0,Boeing — 747-400
Beech,,,,2.0,1.0,1.0,Beech — KINGAIR 300
McDonnell Douglas,,,,0.0,,0.0,McDonnell Douglas — MD-11
Embraer,,,,40.0,0.0,0.0,Embraer — EMB-145
Boeing,,,,91.0,0.0,0.0,Boeing — 767-300
McDonnell Douglas,,,,0.0,,0.0,McDonnell Douglas — MD-82
Boeing,,,,4.0,0.0,0.0,Boeing — 707
Boeing,,,,3.0,0.0,0.0,Boeing — 747-200
Boeing,,IMC,,0.0,,0.0,Boeing — 737-228
Boeing,,,,2.0,0.0,1.0,Boeing — 747-200F
Boeing,,,,96.0,0.0,0.0,Boeing — 727-200
McDonnell Douglas,,,,0.0,,0.0,McDonnell Douglas — MD-83
Boeing,,,,2.0,0.0,0.0,Boeing — MD80/87
Cessna,,,,0.0,,1.0,Cessna — 172M
Cessna,1,VMC,Takeoff,6.0,1.0,1.0,Cessna — 205
Beech,2,VMC,Descent,1.0,1.0,1.0,Beech — B90
Mooney,,,,2.0,0.0,,Mooney — M20
Boeing,,,,94.0,0.0,0.0,Boeing — 757
Cessna,1,VMC,Takeoff,5.0,1.0,1.0,Cessna — 182A
McDonnell Douglas,,,,3.0,0.0,,McDonnell Douglas — DC-10
Cessna,1,VMC,Climb,3.0,0.0,0.0,Cessna — 182Q
McDonnell Douglas,,,,2.0,0.0,0.0,McDonnell Douglas — MD-11
Beech,,,,2.0,1.0,1.0,Beech — 99
Boeing,,,,0.0,,,Boeing — B-737
Piper,1,VMC,Maneuvering,1.0,1.0,0.0,Piper — PA-18-150
Embraer,,,,18.0,0.0,1.0,Embraer — EMB-110
Beech,2,VMC,Takeoff,10.0,1.0,1.0,Beech — 65-A90
McDonnell Douglas,,VMC,,191.0,0.0,0.0,McDonnell Douglas — MD-11
McDonnell Douglas,,,,317.0,0.0,1.0,McDonnell Douglas — MD-11
Boeing,,,,191.0,0.0,0.0,Boeing — 767
Boeing,,,,5.0,0.0,,Boeing — 737-200
Boeing,,,,3.0,0.0,0.0,Boeing — 747SP
Cessna,1,VMC,Takeoff,5.0,1.0,1.0,Cessna — 182A
McDonnell Douglas,,,,0.0,,0.0,McDonnell Douglas — MD-11
Cessna,1,IMC,Takeoff,2.0,0.0,0.0,Cessna — 172P
Boeing,,IMC,,0.0,,0.0,Boeing — 747-400
Grumman,1,VMC,Takeoff,2.0,0.0,0.0,Grumman — G164
Beech,1,,,0.0,,0.0,Beech — D35
Boeing,,,,274.0,0.0,0.0,Boeing — 777-200
Boeing,,IMC,,191.0,0.005235602094240838,,Boeing — 777-222
McDonnell Douglas,,,,336.0,0.08333333333333333,1.0,McDonnell Douglas — DC-10-30
Boeing,,,,143.0,0.0,0.0,Boeing — 737-3K2
Boeing,,IMC,,7.0,0.0,1.0,Boeing — B 727-100
Cessna,1,VMC,Maneuvering,2.0,0.5,0.0,Cessna — 208B
Cessna,1,VMC,Maneuvering,2.0,0.5,1.0,Cessna — 182M
Boeing,,IMC,,123.0,0.0,0.0,Boeing — B737-400
Boeing,2,VMC,Landing,142.0,0.014084507042253521,1.0,Boeing — 737-300
Boeing,,VMC,,0.0,,0.0,Boeing — 727-23
Boeing,,,,16.0,0.0,0.0,Boeing — B747-267B
Boeing,,,,3.0,0.0,0.0,Boeing — 747-200F
Boeing,,IMC,,131.0,1.0,1.0,Boeing — 737-200
Boeing,,,,0.0,,,Boeing — 747-200
Beech,,,,0.0,,1.0,Beech — 1900C
Boeing,,IMC,Standing,124.0,0.008064516129032258,,Boeing — 737-500
McDonnell Douglas,,,,153.0,0.0,0.0,McDonnell Douglas — MD-80
Boeing,,,,0.0,,0.0,Boeing — 747-200
Cessna,2,VMC,Descent,1.0,1.0,1.0,Cessna — 402C
