Make,Number.of.Engines,Weather.Condition,Broad.phase.of.flight,total_passengers,injury_rate,is_destroyed,Make_Model
Piper,2,VMC,,1.0,0.0,0.0,Piper — PA23
Piper,1,VMC,,3.0,0.0,0.0,Piper — PA-28-161
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172N
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-12
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 177
Cessna,1,IMC,,2.0,0.0,0.0,Cessna — P210N
Dehavilland,1,VMC,,3.0,0.6666666666666666,0.0,Dehavilland — DHC-3T
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 180
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 120
Boeing,1,VMC,,3.0,0.0,0.0,Boeing — E75
Beech,1,VMC,,1.0,0.0,0.0,Beech — 36
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-28-181
Beech,,,,19.0,1.0,0.0,Beech — 1900
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 182
Cessna,1,VMC,,2.0,0.5,0.0,Cessna — 172S
Boeing,2,,,185.0,0.0,0.0,Boeing — 757-222
Boeing,,,,130.0,0.0,0.0,Boeing — DC-9
Piper,1,VMC,,3.0,0.0,0.0,Piper — PA-12
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-18-150
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 180H
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 180
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-28-140
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-28RT-201
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172R
Cirrus,1,VMC,,1.0,0.0,0.0,Cirrus — SR20
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 152
Boeing,2,VMC,,166.0,0.0,,Boeing — 737-823
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — T210R
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172S
Beech,1,,,4.0,1.0,0.0,Beech — V35
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 182P
Piper,1,IMC,,3.0,1.0,0.0,Piper — PA-32R-300
Air Tractor,1,VMC,,1.0,0.0,0.0,Air Tractor — AT-502B
Cessna,1,,,4.0,0.5,0.0,Cessna — 208B
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 207A
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-38-112
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 150L
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 180J
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172P
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 210A
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 177RG
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-28R-201T
Piper,1,VMC,,2.0,1.0,0.0,Piper — PA-18-150
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 150L
Luscombe,1,VMC,,2.0,0.5,0.0,Luscombe — 8A
Cessna,2,VMC,,1.0,0.0,0.0,Cessna — T310R
Taylorcraft,1,VMC,,1.0,1.0,0.0,Taylorcraft — BL-65
Piper,1,VMC,,4.0,0.0,0.0,Piper — PA-28-235
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 188
Aeronca,1,VMC,,1.0,0.0,0.0,Aeronca — 0-58A
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 182C
Boeing,2,VMC,,182.0,0.0,0.0,Boeing — 757-251
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 177B
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 182A
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-18
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 210F
Boeing,2,,,0.0,,0.0,Boeing — 737
Cirrus,1,VMC,,1.0,0.0,0.0,Cirrus — SR20
Socata,1,VMC,,2.0,1.0,0.0,Socata — TBM 700
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 182A
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172P
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 182L
Maule,1,VMC,,1.0,0.0,0.0,Maule — MX-7-180C
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 150F
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 170B
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172P
Piper,,VMC,,2.0,1.0,1.0,Piper — PA-28-140
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 180H
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-18-150
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-28-235
Cessna,1,VMC,,3.0,0.0,,Cessna — 172S
Beech,1,VMC,,3.0,1.0,0.0,Beech — E33
Piper,1,VMC,,3.0,0.6666666666666666,0.0,Piper — PA-28-140
Cirrus,1,VMC,,1.0,1.0,0.0,Cirrus — SR22
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — R172K
Diamond Aircraft Ind Inc,1,VMC,,1.0,1.0,0.0,Diamond Aircraft Ind Inc — DA 20-C1
American Champion Aircraft,1,VMC,,1.0,0.0,0.0,American Champion Aircraft — 7AC
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-28R-200
Cessna,1,VMC,,2.0,0.5,0.0,Cessna — 172F
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172N
Piper,1,VMC,,1.0,1.0,0.0,Piper — PA-18-150
Beech,1,VMC,,1.0,0.0,0.0,Beech — D17S
Piper,2,VMC,,3.0,0.0,0.0,Piper — PA-34-220T
Boeing,2,IMC,,216.0,0.0,,Boeing — 767-2B7
Piper,1,IMC,,1.0,1.0,0.0,Piper — PA46R
Bellanca,1,VMC,,1.0,0.0,0.0,Bellanca — 7GCBC
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-18-150
Aeronca,1,VMC,,2.0,1.0,0.0,Aeronca — 7AC
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 210J
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-18-135
Boeing,4,,,394.0,0.0,0.0,Boeing — 747-451
Cessna,1,VMC,,2.0,1.0,0.0,Cessna — 210G
Beech,1,VMC,,1.0,0.0,0.0,Beech — C23
Bombardier,2,,,0.0,,,Bombardier — CL600 2C10
Cirrus,1,IMC,,3.0,0.3333333333333333,0.0,Cirrus — SR22T
Diamond Aircraft Ind Inc,1,VMC,,2.0,0.0,0.0,Diamond Aircraft Ind Inc — DA 20-C1
Piper,1,VMC,,2.0,0.5,0.0,Piper — PA-18-150
Air Tractor,1,VMC,,1.0,0.0,0.0,Air Tractor — AT-301
Boeing,,,,151.0,0.0,0.0,Boeing — 737 - 800
Piper,2,VMC,,3.0,0.3333333333333333,0.0,Piper — PA-44-180
Cessna,1,VMC,,2.0,0.5,0.0,Cessna — 182R
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 185
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172F
Piper,2,,,4.0,0.75,0.0,Piper — PA-31T
Boeing,,,,0.0,,,Boeing — 777 - 200
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 172K
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-18-150
Cessna,1,VMC,,4.0,0.0,0.0,Cessna — 182K
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-18-150
Cessna,1,VMC,,2.0,1.0,0.0,Cessna — 172N
Boeing,,,,231.0,0.0,0.0,Boeing — 767
Beech,1,VMC,,1.0,1.0,0.0,Beech — F33A
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 172R
Cessna,2,VMC,,5.0,0.0,0.0,Cessna — 550
Cessna,1,VMC,,5.0,0.0,0.0,Cessna — 182T
Boeing,2,,,129.0,0.0,0.0,Boeing — 777
Cessna,2,VMC,,10.0,0.0,0.0,Cessna — 402
Beech,1,VMC,,2.0,1.0,0.0,Beech — D-45
Stinson,1,VMC,,1.0,0.0,0.0,Stinson — 108-3
Beech,1,VMC,,2.0,0.0,0.0,Beech — A36
Cessna,1,VMC,,6.0,0.5,0.0,Cessna — 207A
Cessna,1,VMC,,3.0,1.0,0.0,Cessna — 182Q
Air Tractor,1,VMC,,1.0,0.0,0.0,Air Tractor — AT-602
Piper,2,VMC,,4.0,0.0,0.0,Piper — PA-31T
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172RG
Socata,1,IMC,,1.0,1.0,0.0,Socata — TBM 700
Cessna,2,VMC,,1.0,1.0,1.0,Cessna — 337G
Beech,2,VMC,,2.0,1.0,0.0,Beech — 95-B55 (T42A)
Piper,,IMC,,1.0,1.0,1.0,Piper — PA-31
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 172M
Beech,2,VMC,,2.0,1.0,0.0,Beech — 58
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 180H
Bellanca,1,VMC,,1.0,0.0,0.0,Bellanca — 8GCBC
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-25
North American,1,VMC,,2.0,0.0,,North American — SNJ-6
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 180
Cessna,2,VMC,,5.0,0.8,0.0,Cessna — 401A
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172S
Cessna,1,VMC,,4.0,0.0,0.0,Cessna — 182J
Cessna,1,,,4.0,1.0,0.0,Cessna — 210
Cirrus,1,VMC,,2.0,1.0,0.0,Cirrus — SR22
Cirrus,,IMC,,4.0,1.0,0.0,Cirrus — SR22
Cessna,,,,2.0,1.0,0.0,Cessna — 210
Cirrus,1,IMC,,2.0,1.0,0.0,Cirrus — SR22
American Champion Aircraft,1,VMC,,2.0,0.0,0.0,American Champion Aircraft — 7GCAA
Beech,1,VMC,,2.0,0.0,0.0,Beech — S35
Piper,1,VMC,,4.0,1.0,0.0,Piper — PA-28-180
Beech,2,IMC,,4.0,0.0,0.0,Beech — 95-C55
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — A150M
Cessna,2,IMC,,1.0,1.0,0.0,Cessna — T337
Bellanca,1,VMC,,1.0,0.0,0.0,Bellanca — 17-30A
Mooney,1,VMC,,1.0,1.0,0.0,Mooney — M20M
Embraer,2,,,48.0,0.0,,Embraer — EMB-145LR
Beech,2,VMC,,7.0,0.0,0.0,Beech — C-45G
Ercoupe,1,VMC,,2.0,0.5,0.0,Ercoupe — 415-C
Stinson,1,VMC,,1.0,0.0,0.0,Stinson — 108-1
Beech,1,VMC,,2.0,0.0,0.0,Beech — V35
American Champion Aircraft,1,VMC,,1.0,0.0,0.0,American Champion Aircraft — 8GCBC
Cirrus,1,IMC,,1.0,1.0,0.0,Cirrus — SR20
Cirrus,1,VMC,,1.0,0.0,0.0,Cirrus — SR20
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 152
Cessna,,,,1.0,1.0,0.0,Cessna — 210
Cessna,2,VMC,,1.0,0.0,0.0,Cessna — 550
Aviat Aircraft Inc,1,VMC,,1.0,0.0,0.0,Aviat Aircraft Inc — A-1B
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — A185F
Piper,2,VMC,,5.0,0.0,0.0,Piper — PA23
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA36
Diamond Aircraft Ind Inc,1,IMC,,1.0,1.0,0.0,Diamond Aircraft Ind Inc — DA 20-C1
Beech,1,IMC,,1.0,1.0,0.0,Beech — 23
Cessna,2,VMC,,4.0,0.0,0.0,Cessna — 310I
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 182L
Cirrus,1,IMC,,4.0,1.0,0.0,Cirrus — SR20
Cessna,1,VMC,,3.0,1.0,0.0,Cessna — 177RG
Cessna,1,VMC,,2.0,1.0,0.0,Cessna — 182R
Cirrus,1,IMC,,2.0,1.0,0.0,Cirrus — SR20
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172K
Piper,2,VMC,,5.0,0.8,0.0,Piper — PA-31-350
Cessna,2,VMC,,1.0,0.0,0.0,Cessna — 402B
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 207
Piper,1,VMC,,2.0,0.5,0.0,Piper — PA-32RT-300T
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 305A
Piper,2,VMC,,2.0,1.0,0.0,Piper — PA-44-180
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172P
Cessna,1,,,4.0,1.0,0.0,Cessna — TU206
Boeing,2,VMC,,152.0,0.0,,Boeing — 757-222
Boeing,2,VMC,,85.0,0.0,,Boeing — 737-7H4
Beech,,IMC,,1.0,0.0,1.0,Beech — F90
Cessna,2,VMC,,3.0,0.0,,Cessna — 560XL
Beech,2,VMC,,2.0,0.0,0.0,Beech — 76
Boeing,2,VMC,,100.0,0.02,,Boeing — 737-7H4
Boeing,,,,0.0,,0.0,Boeing — 777
Socata,1,IMC,,4.0,1.0,0.0,Socata — TB21
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172N
Beech,2,,,0.0,,0.0,Beech — 1900D
Piper,1,IMC,,2.0,1.0,0.0,Piper — PA-32-260
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172D
Boeing,,,,0.0,,0.0,Boeing — 737
Aviat Aircraft Inc,1,VMC,,1.0,0.0,,Aviat Aircraft Inc — A-1C-180
Cirrus,1,VMC,,2.0,0.0,,Cirrus — SR20
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-38-112
Cessna,1,,,1.0,1.0,0.0,Cessna — 210
Piper,1,VMC,,1.0,1.0,0.0,Piper — PA-28R-200
Piper,2,IMC,,3.0,0.0,0.0,Piper — PA-31-350
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 152
Cessna,2,VMC,,4.0,1.0,0.0,Cessna — 421C
Beech,1,VMC,,1.0,0.0,0.0,Beech — C23
Cessna,2,IMC,,4.0,0.0,0.0,Cessna — 421B
Boeing,2,VMC,,279.0,0.0,0.0,Boeing — 737-732
Piper,1,IMC,,2.0,1.0,0.0,Piper — PA-28-235D
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 182C
Grumman,1,VMC,,2.0,0.0,0.0,Grumman — AA5
Beech,,,,15.0,0.0,,Beech — 1900
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-22
Cessna,,IMC,,2.0,1.0,0.0,Cessna — 177A
Cessna,1,VMC,,4.0,1.0,0.0,Cessna — U206G
Beech,2,VMC,,2.0,0.0,0.0,Beech — 95-B55
Piper,2,VMC,,3.0,0.0,0.0,Piper — PA-31-350
Cirrus,1,VMC,,1.0,0.0,0.0,Cirrus — SR22
Beech,1,VMC,,1.0,0.0,0.0,Beech — J35
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-38-112
Ercoupe,1,VMC,,2.0,0.0,0.0,Ercoupe — 415-C
Cessna,1,VMC,,2.0,0.5,0.0,Cessna — 208
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 120
Luscombe,1,VMC,,1.0,0.0,0.0,Luscombe — 8E
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — T210L
Piper,2,VMC,,2.0,0.0,0.0,Piper — PA-44-180
Piper,1,IMC,,5.0,1.0,0.0,Piper — PA-32-260
Cessna,1,IMC,,3.0,0.3333333333333333,0.0,Cessna — 172R
Socata,1,VMC,,5.0,1.0,1.0,Socata — TBM 700
Boeing,2,,,133.0,0.0,0.0,Boeing — 737
Cessna,1,IMC,,1.0,1.0,0.0,Cessna — 207A
Cessna,2,VMC,,1.0,1.0,0.0,Cessna — 441
American Champion Aircraft,1,VMC,,1.0,1.0,0.0,American Champion Aircraft — 8KCAB
Boeing,2,IMC,,133.0,0.0,0.0,Boeing — 737-7H4
Beech,1,VMC,,3.0,1.0,0.0,Beech — 19A
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 150H
Aero Commander,2,VMC,,1.0,1.0,0.0,Aero Commander — 560-F
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 182J
Piper,1,VMC,,4.0,0.75,0.0,Piper — PA-28-180
Cessna,2,VMC,,8.0,0.0,0.0,Cessna — 650
Maule,1,VMC,,1.0,0.0,0.0,Maule — M-7-235
Piper,1,,,2.0,1.0,0.0,Piper — PA28
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-28-161
Piper,1,VMC,,1.0,1.0,0.0,Piper — PA-25-235
Piper,1,VMC,,5.0,0.2,0.0,Piper — PA-32-260
Maule,1,VMC,,3.0,0.0,0.0,Maule — M-5-180C
Piper,2,VMC,,1.0,0.0,0.0,Piper — PA-34-200T
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-18-135
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-28-160
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172P
Piper,2,VMC,,1.0,0.0,0.0,Piper — AEROSTAR 601P
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA28
Aviat,1,VMC,,1.0,0.0,0.0,Aviat — A1
Aviat Aircraft Inc,1,VMC,,2.0,1.0,0.0,Aviat Aircraft Inc — A-1C-180
Luscombe,1,VMC,,1.0,0.0,0.0,Luscombe — 8A
Cirrus,1,VMC,,2.0,0.0,0.0,Cirrus — SR22
Boeing,,,,0.0,,0.0,Boeing — 737-800
Beech,2,VMC,,5.0,0.0,0.0,Beech — 58P
Cessna,1,,,2.0,1.0,0.0,Cessna — 152
Boeing,,,,118.0,0.0,0.0,Boeing — 737
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 150G
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 150J
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 150M
Aero Commander,2,VMC,,1.0,1.0,0.0,Aero Commander — 500-B
Boeing,,,,191.0,0.0,,Boeing — 777
Beech,1,,,3.0,1.0,1.0,Beech — A36
Piper,1,IMC,,2.0,1.0,0.0,Piper — PA-24-180
Piper,1,VMC,,4.0,0.0,0.0,Piper — PA-32RT-300
Boeing,2,VMC,,36.0,0.0,0.0,Boeing — DHC-8-102
Boeing,,,,0.0,,,Boeing — 747
Piper,1,,,0.0,,0.0,Piper — PA-31-235
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172I
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172M
Cessna,1,VMC,,2.0,1.0,0.0,Cessna — 177A
Cessna,1,IMC,,1.0,1.0,0.0,Cessna — 150G
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 207A
Beech,2,VMC,,3.0,0.0,0.0,Beech — 58
McDonnell Douglas,,,,0.0,,0.0,McDonnell Douglas — MD80
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 210E
Embraer,2,,,53.0,0.0,,Embraer — EMB-145LR
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172P
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-28-181
Cessna,2,VMC,,2.0,0.5,0.0,Cessna — 340A
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-28-140
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172L
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — T210M
Piper,2,VMC,,1.0,0.0,0.0,Piper — PA-31-310
Cessna,1,VMC,,1.0,0.0,,Cessna — 172S
Aero Commander,1,VMC,,1.0,1.0,0.0,Aero Commander — 100
Piper,1,VMC,,1.0,1.0,0.0,Piper — PA-28-180
Piper,1,VMC,,1.0,1.0,,Piper — PA-28R-200
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 180
Piper,1,VMC,,2.0,0.5,0.0,Piper — PA-22-135
Beech,2,VMC,,7.0,0.0,0.0,Beech — 99
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 172S
Bellanca,1,VMC,,2.0,0.0,0.0,Bellanca — 17-30
Embraer,2,VMC,,3.0,0.0,0.0,Embraer — EMB-500
Cessna,1,VMC,,2.0,0.5,0.0,Cessna — 172E
Cessna,1,IMC,,4.0,0.5,0.0,Cessna — T206H
Piper,1,VMC,,3.0,1.0,0.0,Piper — PA-28R-201T
Bombardier,2,VMC,,52.0,0.0,0.0,Bombardier — CL600 2B19
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — R182
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-18
Rockwell International,1,VMC,,1.0,0.0,0.0,Rockwell International — S-2R
McDonnell Douglas,,,,0.0,,0.0,McDonnell Douglas — MD80 - 80
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 172N
Piper,2,VMC,,3.0,0.0,0.0,Piper — PA-30
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-28-140
Boeing,2,,,210.0,0.0,,Boeing — 767
Maule,1,VMC,,1.0,0.0,0.0,Maule — MX-7-235
Cessna,,,,0.0,,0.0,Cessna — T-210
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172M
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — T182T
Cessna,1,IMC,,2.0,1.0,0.0,Cessna — 210
Socata,1,VMC,,3.0,1.0,0.0,Socata — TBM 700
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 172N
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172I
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 152
Boeing,2,,,0.0,,,Boeing — 737
Bombardier,,,,6.0,0.0,0.0,Bombardier — 60
Piper,1,VMC,,2.0,0.5,0.0,Piper — PA-18-135
Rockwell International,1,VMC,,2.0,0.0,0.0,Rockwell International — 114
McDonnell Douglas,3,,,0.0,,0.0,McDonnell Douglas — MD-10-30F
Beech,2,VMC,,2.0,0.0,0.0,Beech — G18
Piper,1,VMC,,2.0,1.0,0.0,Piper — PA-28-180
Piper,1,IMC,,1.0,0.0,0.0,Piper — PA-32-260
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172S
Rockwell International,1,VMC,,1.0,0.0,0.0,Rockwell International — S-2R
Cessna,1,VMC,,3.0,1.0,0.0,Cessna — 172S
Beech,2,VMC,,2.0,1.0,0.0,Beech — 58
Embraer,2,VMC,,2.0,0.0,0.0,Embraer — EMB120
Cessna,2,VMC,,2.0,0.0,0.0,Cessna — 402B
Beech,,,,4.0,1.0,1.0,Beech — 95B55
Mooney,1,VMC,,1.0,0.0,0.0,Mooney — M20J
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 150J
Beech,2,VMC,,1.0,0.0,0.0,Beech — 95-B55
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172N
Beech,2,,,0.0,,0.0,Beech — 1900D
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 180
Beech,1,VMC,,3.0,0.0,0.0,Beech — C23
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172S
Piper,1,VMC,,7.0,0.0,0.0,Piper — PA-32R-300
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 182A
Cessna,2,IMC,,6.0,0.3333333333333333,0.0,Cessna — 414A
Boeing,2,,,136.0,0.022058823529411766,,Boeing — 737-832
Aeronca,1,VMC,,2.0,0.0,0.0,Aeronca — 7BCM
Aviat Aircraft Inc,1,VMC,,2.0,0.0,0.0,Aviat Aircraft Inc — A-1C-200
Cessna,1,VMC,,4.0,0.0,0.0,Cessna — 172M
Beech,1,VMC,,3.0,0.0,0.0,Beech — 35-A33
Cessna,1,VMC,,4.0,0.0,0.0,Cessna — 182A
Piper,1,VMC,,2.0,1.0,0.0,Piper — PA-24-250
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 180H
Cessna,1,VMC,,2.0,1.0,0.0,Cessna — 150
Boeing,2,VMC,,140.0,0.007142857142857143,,Boeing — 737-7H4
Beech,2,VMC,,2.0,0.0,0.0,Beech — 58
Cessna,1,VMC,,2.0,1.0,0.0,Cessna — 172S
Piper,1,IMC,,2.0,0.0,0.0,Piper — PA-28-161
Airbus,2,IMC,,189.0,0.0,,Airbus — A321
Beech,1,VMC,,3.0,0.0,0.0,Beech — S35
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-36-300
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-22-135
Cessna,1,VMC,,1.0,1.0,1.0,Cessna — T210N
Mooney,1,VMC,,2.0,1.0,0.0,Mooney — M20E
Boeing,2,,,147.0,0.0,,Boeing — 767
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — R172E
Cessna,,VMC,,1.0,1.0,0.0,Cessna — 208
Cirrus,1,VMC,,3.0,1.0,0.0,Cirrus — SR22
Cessna,,,,5.0,1.0,1.0,Cessna — 750
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 182P
American Champion Aircraft,1,VMC,,2.0,0.5,0.0,American Champion Aircraft — 7GCAA
Cessna,1,,,1.0,1.0,0.0,Cessna — 188
Piper,2,VMC,,1.0,0.0,0.0,Piper — PA-30
Mooney,1,VMC,,2.0,0.0,0.0,Mooney — M20M
Bombardier Inc,2,VMC,,50.0,0.0,,Bombardier Inc — CL-600-2B19
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172S
American Champion Aircraft,1,VMC,,2.0,0.0,0.0,American Champion Aircraft — 8KCAB
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 170B
Bellanca,1,VMC,,2.0,0.5,0.0,Bellanca — 7GCBC
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-22-150
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 140A
Piper,1,,,3.0,1.0,1.0,Piper — PA28R
Piper,2,VMC,,1.0,0.0,0.0,Piper — PA-31-350
Air Tractor,1,VMC,,1.0,0.0,0.0,Air Tractor — AT-502B
Cessna,2,VMC,,1.0,0.0,0.0,Cessna — 310K
Piper,1,VMC,,1.0,1.0,0.0,Piper — PA-18-150
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 172N
Cirrus,1,VMC,,3.0,0.0,0.0,Cirrus — SR22
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — U206G
Cessna,1,VMC,,1.0,1.0,0.0,Cessna — 172N
Beech,2,VMC,,3.0,0.0,0.0,Beech — 76
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 180H
Stinson,1,VMC,,2.0,1.0,0.0,Stinson — 108-3
Diamond Aircraft Ind Inc,2,VMC,,2.0,0.0,0.0,Diamond Aircraft Ind Inc — DA 42
Dehavilland,1,IMC,,2.0,0.5,0.0,Dehavilland — BEAVER DHC-2
Beech,2,,,0.0,,0.0,Beech — 1900D
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — T210J
Cessna,1,VMC,,1.0,0.0,0.0,Cessna — 182
Piper,1,VMC,,2.0,0.0,,Piper — PA-32R-300
Cessna,1,IMC,,2.0,1.0,0.0,Cessna — 150L
Cessna,2,VMC,,5.0,1.0,0.0,Cessna — 501
Piper,1,VMC,,1.0,1.0,0.0,Piper — PA-28-151
Beech,1,,,1.0,1.0,0.0,Beech — B36
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-28R-180
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — 177B
Air Tractor,1,VMC,,1.0,0.0,0.0,Air Tractor — AT-301A
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172K
Cessna,1,VMC,,3.0,0.0,0.0,Cessna — A185F
Bellanca,1,VMC,,1.0,0.0,0.0,Bellanca — 17-30A
Piper,1,VMC,,2.0,0.0,0.0,Piper — J3C-65
Piper,1,VMC,,2.0,0.5,0.0,Piper — PA-28-161
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-28R-200
Piper,1,VMC,,2.0,0.0,0.0,Piper — PA-28R-200
Mooney,1,VMC,,2.0,0.0,0.0,Mooney — M20M
Cessna,1,VMC,,2.0,0.0,0.0,Cessna — 172K
Piper,1,VMC,,1.0,0.0,0.0,Piper — PA-28-140
